text,label,template_id
Cheque no. 126907590050 for Rs.15668 has been cleared from A/c XX3239. -Kotak,Bank,Bank_8
Your Meesho membership expires soon. Renew now & save 80%: bit.ly/SvoRFT,Promo,Promo_9
G-838945 is your Google verification code,OTP,OTP_12
Weekend special at Amazon! Min 20% off on everything. Don't miss out: bit.ly/LRHKSW,Promo,Promo_6
Your credit card XX7251 statement is ready Total due: Rs.30134 Min due: Rs.1758 -BOB,Bank,Bank_5
Use code 4353 at checkout for 50% off at Meesho!,Promo,Hard_0
Your FD of Rs.50430 matures on 11-05-26. Renew or withdraw via netbanking. -Kotak,Bank,Bank_14
Order OD6053501126 packed and ready! Expected dispatch by 03 Jul. -Flipkart,Delivery,Delivery_8
INTEREST OF RS.96042 CREDITED TO YOUR FD A/C XX3688. -AXIS BANK,Bank,Bank_9
enter 845141 to verify your mobile number for myntra.,OTP,OTP_10
OTP: 961506 for txn of Rs.28842 at Uber. Do not share. -PNB STOP to opt out,OTP,OTP_2
KYC update pending for A/c XX1932. Please visit your nearest HDFC Bank branch by 25-05-26 to avoid restrictions.,Bank,Bank_12
IRCTC: Special trains added for festive season. Book early & save up to 70%. STOP to opt out,Promo,Promo_17
Your SBI debit card XX5860 has been blocked due to suspicious activity. Visit branch or call 1800-XXX to unblock. T&C apply,Bank,Bank_11
IRCTC: Special trains added for festive season. Book early & save up to 30%. T&C apply,Promo,Promo_17
OTP for delivery of order OD9887717646 is 1727. Share only with the delivery agent. -XpressBees,Delivery,Delivery_9
Your order OD9133609735 from Meesho is arriving tomorrow. Keep INR 1160 ready for COD.,Delivery,Delivery_3
Items in your order history are back in stock at Flipkart. Prices start Rs.939.,Promo,Promo_23
Your return pickup for order OD9987091640 is scheduled on 06 Jul. Keep the item ready. -BigBasket T&C apply,Delivery,Delivery_7
otp-based login was enabled for your a/c xx5065. call pnb if this wasn't you.,Bank,Hard_2
"Bro send me Rs.2517 on gpay, will return by 06 Jul -TM",Personal,Hard_5
Last day! Myntra clearance sale ends tonight. Up to 20% off sitewide. STOP to opt out,Promo,Promo_8
Auto-pay of Rs.84494 to Ayaan is scheduled on 13-03-26 from A/c XX5275. Ensure sufficient balance. -TM,Bank,Bank_13
"Never share your OTP, PIN or CVV. HDFC Bank never asks for these. Stay safe.",Bank,Hard_3
Auto-pay of Rs.69952 to Yashodhara is scheduled on 17-01-26 from A/c XX1483. Ensure sufficient balance.,Bank,Bank_13
"Never share ur OTP, PIN or CVV. Kotak never asks for these. Stay safe.",Bank,Hard_3
Convert your Kotak card purchase of Rs.1700 into easy EMIs at 0% interest. Reply YES.,Promo,Promo_15
Your OTP is 198718. Use it to verify your Ola account. Expires in 5 min.,OTP,OTP_1
Your one time password is 352361 for Hotstar. Please do not share it.,OTP,OTP_5
Your Amazon order OD6556322404 has been shipped via DTDC. Track: bit.ly/nBcoUL,Delivery,Delivery_0
Rs.51067  debited from A/c XX2734 on 26-03-26 to Vedhika. Avl Bal: Rs.480918. -ICICI Bank,Bank,Bank_0
  Cheque no. 410563394401 for Rs.63871 has been cleared from A/c XX5805. -PNB,Bank,Bank_8
Rs.16687 debited from A/c XX6667 on 15-03-26 to Faraj. Avl Bal: Rs.141891. -ICICI Bank,Bank,Bank_0
"Class  shifted to room 3728, come fast",Personal,Hard_6
Coupon 4232 gives you free delivery on orders above Rs.1252. -Amazon,Promo,Hard_1
Your one time password is 670528 for Myntra. Please do not share it.,OTP,OTP_5
218871 is your verification code for Myntra. Never share your OTP.,OTP,OTP_3
EMI of Rs.42288 due on 20-05-26 for loan A/c XX4721. Pay now to avoid charges. -Axis Bank T&C apply,Bank,Bank_4
Congratulations! You won Rs.2497911 in lucky draw Claim: bitly/ucTXfk,Spam,Hard_12
"Class shifted to room 1061, come fast",Personal,Hard_6
